상품,고객,종류,기간,금리,금리(연평균수익률),기본금리,기본금리(연평균수익률),비고,할인율,할인율(연평균수익률),금액
수시입출금식상품_Hi(비대면)입출금통장,개인용,,,1.4,,,,,,,
수시입출금식상품_KDBdreamAccount,개인용,,,1.3,,,,,,,
거치식상품_Hi정기예금,개인용,,1년,2.2,,,,,,,
거치식상품_KDB정기예금,개인용,만기지급식,1개월,,,2.45,,,,,
거치식상품_KDB정기예금,개인용,만기지급식,3개월,,,2.65,,,,,
거치식상품_KDB정기예금,개인용,만기지급식,6개월,,,2.85,,,,,
거치식상품_KDB정기예금,개인용,만기지급식,1년,,,2.95,,,,,
거치식상품_KDB정기예금,개인용,만기지급식,2년,,,2.5,,,,,
거치식상품_KDB정기예금,개인용,만기지급식,3년,,,2.4,,,,,
거치식상품_KDBdream정기예금,개인용,만기지급식,6개월,,,2.35,,우대이율(KDBdreamAccount가입고객)0.10%미포함,,,
거치식상품_KDBdream정기예금,개인용,만기지급식,1년,,,2.1,,우대이율(KDBdreamAccount가입고객)0.10%미포함,,,
거치식상품_KDBdream정기예금,개인용,만기지급식,2년,,,2.1,,우대이율(KDBdreamAccount가입고객)0.10%미포함,,,
거치식상품_KDBdream정기예금,개인용,월이자지급식,6개월,,,2.34,,우대이율(KDBdreamAccount가입고객)0.10%미포함,,,
거치식상품_KDBdream정기예금,개인용,월이자지급식,1년,,,2.08,,우대이율(KDBdreamAccount가입고객)0.10%미포함,,,
거치식상품_KDBdream정기예금,개인용,월이자지급식,2년,,,2.06,,우대이율(KDBdreamAccount가입고객)0.10%미포함,,,
거치식상품_KDBdream자유자재정기예금,개인용,만기지급식,1개월,,,1.8,1.8,,,,
거치식상품_KDBdream자유자재정기예금,개인용,만기지급식,3개월,,,2,2,,,,
거치식상품_KDBdream자유자재정기예금,개인용,만기지급식,6개월,,,2,2.01,,,,
거치식상품_KDBdream자유자재정기예금,개인용,만기지급식,1년,,,2,2.02,,,,
거치식상품_KDBdream자유자재정기예금,개인용,만기지급식,2년,,,1.7,1.73,,,,
거치식상품_KDBdream자유자재정기예금,개인용,만기지급식,3년,,,1.7,1.74,,,,
적립식상품_HI자유적금,개인용,,1년이상,,,2.12,,Hi(비대면)입출금통장자동이체시0.10%우대이율미포함,,,
적립식상품_HI자유적금,개인용,,2년이상,,,2.26,,Hi(비대면)입출금통장자동이체시0.10%우대이율미포함,,,
적립식상품_HI자유적금,개인용,,3년,,,2.52,,Hi(비대면)입출금통장자동이체시0.10%우대이율미포함,,,
적립식상품_KDBdream자유적금,개인용,,1년이상,,,2.35,,KDBdreamAccount자동이체시0.10%우대이율미포함,,,
적립식상품_KDBdream자유적금,개인용,,2년이상,,,2.15,,KDBdreamAccount자동이체시0.10%우대이율미포함,,,
적립식상품_KDBdream자유적금,개인용,,3년,,,2.05,,KDBdreamAccount자동이체시0.10%우대이율미포함,,,
적립식상품_주거래플러스적금,개인용,,1년이상,,,1.5,,"거래우대1.10%,온라인우대0.10%미포함",,,
적립식상품_주거래플러스적금,개인용,,2년이상,,,1.3,,"거래우대1.10%,온라인우대0.10%미포함",,,
적립식상품_주거래플러스적금,개인용,,3년,,,1.2,,"거래우대1.10%,온라인우대0.10%미포함",,,
적립식상품_데일리플러스자유적금,개인용,자유적립액,1년이상,,,1.5,,"첫거래(추천인)0.20%,온라인우대0.20%,성실재테크우대0.10%미포함",,,
적립식상품_데일리플러스자유적금,개인용,자유적립액,2년이상,,,1.3,,"첫거래(추천인)0.20%,온라인우대0.20%,성실재테크우대0.10%미포함",,,
적립식상품_데일리플러스자유적금,개인용,자유적립액,3년,,,1.2,,"첫거래(추천인)0.20%,온라인우대0.20%,성실재테크우대0.10%미포함",,,
적립식상품_데일리플러스자유적금,개인용,자투리Daily절약액,1년이상,,,2.2,,"첫거래(추천인)0.20%,온라인우대0.20%,성실재테크우대0.10%미포함",,,
적립식상품_데일리플러스자유적금,개인용,자투리Daily절약액,2년이상,,,2,,"첫거래(추천인)0.20%,온라인우대0.20%,성실재테크우대0.10%미포함",,,
